2026-08-01 14:21:19,689 INFO [Hey_Jude_pages]                 Book.java:560  | 2 sheets in /Users/wangzirui/教科研数据仓库/tmp/pdfs/hey_jude_omr/Hey_Jude_pages.pdf
2026-08-01 14:21:36,052 INFO [Hey_Jude_pages#2]       StepMonitoring.java:98   | HEADERS
2026-08-01 14:21:36,140 INFO [Hey_Jude_pages#2]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:36,212 INFO [Hey_Jude_pages#2]                Sheet.java:1583 | Stored /sheet#2/sheet#2.xml
2026-08-01 14:21:36,215 INFO [Hey_Jude_pages#2]       StepMonitoring.java:98   | STEM_SEEDS
2026-08-01 14:21:36,244 INFO [Hey_Jude_pages#2]        StemSeedsStep.java:86   | stem(3 max:4)
2026-08-01 14:21:36,271 INFO [Hey_Jude_pages#2]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:36,347 INFO [Hey_Jude_pages#2]                Sheet.java:1583 | Stored /sheet#2/sheet#2.xml
2026-08-01 14:21:36,350 INFO [Hey_Jude_pages#2]       StepMonitoring.java:98   | BEAMS
2026-08-01 14:21:38,225 INFO [Hey_Jude_pages#2]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:38,283 INFO [Hey_Jude_pages#2]           DataHolder.java:348  | Stored /sheet#2/HEAD_SPOTS.png
2026-08-01 14:21:38,656 INFO [Hey_Jude_pages#2]                Sheet.java:1583 | Stored /sheet#2/sheet#2.xml
2026-08-01 14:21:38,658 INFO [Hey_Jude_pages#2]       StepMonitoring.java:98   | LEDGERS
2026-08-01 14:21:38,754 INFO [Hey_Jude_pages#2]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:39,055 INFO [Hey_Jude_pages#2]                Sheet.java:1583 | Stored /sheet#2/sheet#2.xml
2026-08-01 14:21:39,057 INFO [Hey_Jude_pages#2]       StepMonitoring.java:98   | HEADS
2026-08-01 14:21:42,548 INFO [Hey_Jude_pages#2]        HeadSeedTally.java:235  | Scale information: HeadSeeds{NOTEHEAD_VOID[L:0.4] NOTEHEAD_BLACK[L:-0.0,R:0.4]}
2026-08-01 14:21:42,551 INFO [Hey_Jude_pages#2]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:42,551 INFO [Hey_Jude_pages#2]           DataHolder.java:256  | Removed /sheet#2/HEAD_SPOTS.png
2026-08-01 14:21:42,861 INFO [Hey_Jude_pages#2]                Sheet.java:1583 | Stored /sheet#2/sheet#2.xml
2026-08-01 14:21:42,864 INFO [Hey_Jude_pages#2]       StepMonitoring.java:98   | STEMS
2026-08-01 14:21:43,252 INFO [Hey_Jude_pages#2]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:43,712 INFO [Hey_Jude_pages#2]                Sheet.java:1583 | Stored /sheet#2/sheet#2.xml
2026-08-01 14:21:43,715 INFO [Hey_Jude_pages#2]       StepMonitoring.java:98   | REDUCTION
2026-08-01 14:21:43,783 INFO [Hey_Jude_pages#2]        ReductionStep.java:105  | Stems free length median value: 68 pixels, 3.6 interlines
2026-08-01 14:21:43,790 INFO [Hey_Jude_pages#2]                 Book.java:2565 | Stored /book.xml
2026-08-01 14:21:44,154 INFO [Hey_Jude_pages#2]                Sheet.java:1583 | Stored /sheet#2/sheet#2.xml
2026-08-01 14:21:44,156 INFO [Hey_Jude_pages#2]       StepMonitoring.java:98   | CUE_BEAMS
2026-08-01 14:21:44,156 INFO [Hey_Jude_pages#2]         CueBeamsStep.java:81   | Step CUE_BEAMS is skipped because small heads switch is off
2026-08-01 14:21:44,158 INFO [Hey_Jude_pages#2]                 Book.java:2565 | Stored /book.xml
